Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
laix,alix,laich,"laich, alix, matrix",❌
buenyl,butenyl,butenyl,"butenyl, triphenyl, terphenyl",✅
lecuanthous,leucanthous,leucanthous,"leucanthous, ananthous, lection",✅
grenldin,grenadin,grenadin,"grenadin, gregarian, grecian",✅
reptilivorowus,reptilivorous,reptilivorous,"reptilivorous, punctilious, replicatile",✅
teotiform,tentiform,tentiform,"tentiform, stratiform, cottiform",✅
cranoological,craniological,craniological,"craniological, conchological, myrmecological",✅
unstatueeque,unstatuesque,unstatuesque,"unstatuesque, unstain, unstarched",✅
marblyd,marbled,marbled,"marbled, marbleheader, marc",✅
sasurance,assurance,assurance,"assurance, coinsurance, rasure",✅
clauia,claudia,claudia,"claudia, claudio, clammy",✅
gullen,cullen,cullen,"cullen, gullery, killeen",✅
ebnignly,benignly,benignly,"benignly, unbenignity, hiddenly",✅
mndug,undug,undug,"undug, induce, induna",✅
ojkneyan,orkneyan,orkneyan,"orkneyan, tickney, conveyancer",✅
fashionwble,fashionable,fashionable,"fashionable, cushionflower, factable",✅
desexalize,desexualize,desexualize,"desexualize, demoralize, deorientalize",✅
phonetcize,phoneticize,phoneticize,"phoneticize, phone, phonestheme",✅
yankoeness,yankeeness,yankeeness,"yankeeness, incongealableness, yawniness",✅
tuberculinizaotion,tuberculinization,tuberculinization,"tuberculinization, tuberculid, albuminization",✅
anres,anes,unrestored,"unrestored, kanred, anes",❌
ampeiation,ampliation,ampliation,"ampliation, taliation, ambulation",✅
nashria,nashira,nashira,"nashira, baria, shrink",✅
preponyderously,preponderously,preponderously,"preponderously, generously, heteronymously",✅
mulierosty,mulierosity,mulierosity,"mulierosity, mulierine, lier",✅
anbimonious,antimonious,antimonious,"antimonious, ammonion, bivious",✅
descil,decil,decil,"decil, describe, desmoid",✅
fretnatae,frenatae,frenatae,"frenatae, frightenable, frett",✅
alamr,alarm,alarm,"alarm, salambao, palamedea",✅
lich,laich,laich,"laich, lichen, linch",✅
outpglease,outplease,outplease,"outplease, outpoison, outswear",✅
madyge,madge,madge,"madge, metage, madi",✅
pancratijon,pancration,pancration,"pancration, socratic, titeration",✅
cshiavone,schiavone,schiavone,"schiavone, phone, thiasine",✅
hermaphroidtic,hermaphroditic,hermaphroditic,"hermaphroditic, cumaphytic, heterotic",✅
nusynthetic,unsynthetic,unsynthetic,"unsynthetic, episynthetic, nonsympathetic",✅
cypiran,cyprian,cyprian,"cyprian, expirant, cyp",✅
multiudinism,multitudinism,multitudinism,"multitudinism, multicuspid, paulinism",✅
bhravey,shravey,shravey,"shravey, maravedi, beaver",✅
fianwort,fanwort,fanwort,"fanwort, starwort, sapwort",✅
transmuxcle,transmuscle,transmuscle,"transmuscle, transcribble, transcribable",✅
holosericveous,holosericeous,holosericeous,"holosericeous, pilosebaceous, holotrichal",✅
infrargant,infragrant,infragrant,"infragrant, inframedian, unfraught",✅
labiodentaal,labiodental,labiodental,"labiodental, labiolingual, labial",✅
ahplodoci,haplodoci,haplodoci,"haplodoci, philodox, splodgy",✅
naphtthaline,naphthaline,naphthaline,"naphthaline, naphthylaminesulphonic, naphthoic",✅
ocoercibly,coercibly,coercibly,"coercibly, coercibleness, coercive",✅
pkuther,puther,puther,"puther, eleutherozoa, overleather",✅
phoe,phose,phone,"phone, phose, phoenicean",❌
aftaership,aftership,aftership,"aftership, afteract, afterturn",✅
vinthener,vintener,vintener,"vintener, penthemimer, frightener",✅
verhit,overhit,overhit,"overhit, verditer, verberate",✅
hloly,holly,lolo,"lolo, holly, globulolysis",❌
qiuxotic,quixotic,quixotic,"quixotic, argotic, sarcotic",✅
perimetrimu,perimetrium,perimetrium,"perimetrium, barometrically, primatal",✅
postelemetnary,postelementary,postelementary,"postelementary, posteternity, postfetal",✅
gaathist,agathist,agathist,"agathist, galenist, unthistle",✅
unfotrmularize,unformularize,unformularize,"unformularize, velarize, circularizer",✅
euinox,equinox,equinox,"equinox, inquisitrix, anoxemic",✅
tellinacean,tellinacean,tellinacean,"tellinacean, pectinacea, teleodesmacean",✅
arboraltor,arborator,arborator,"arborator, decarbonator, curator",✅
bagppipes,bagpipes,bagpipes,"bagpipes, cripes, bag",✅
percrxibrate,percribrate,percribrate,"percribrate, perchlorate, perulate",✅
buria,uria,baria,"baria, baeria, uria",❌
trilterally,triliterally,triliterally,"triliterally, triliteral, culturally",✅
auduonistic,audubonistic,audubonistic,"audubonistic, faunistic, feministic",✅
mutumal,mutual,mutual,"mutual, contumacy, alemmal",✅
gleissade,glissade,glissade,"glissade, leisure, frescade",✅
igniferous,igniferous,igniferous,"igniferous, piniferous, lanciferous",✅
cornoitis,coronitis,coronitis,"coronitis, corn, cornelia",✅
mothergrte,mothergate,mothergate,"mothergate, macrothere, northernize",✅
triplsic,triplasic,triplasic,"triplasic, triassic, stripling",✅
minutai,minutia,minutia,"minutia, minuetish, mineral",✅
oviarous,oviparous,oviparous,"oviparous, aviarist, oversolicitous",✅
vivr,viver,viver,"viver, vivek, viviperfuse",✅
rhodocbacteriaceae,rhodobacteriaceae,rhodobacteriaceae,"rhodobacteriaceae, krameriaceae, funariaceae",✅
merywing,merrywing,merrywing,"merrywing, slewing, morning",✅
ovnt,ovant,ovant,"ovant, ovest, overtint",✅
ndulately,undulately,undulately,"undulately, oblately, unaccurately",✅
aplpraisingly,appraisingly,appraisingly,"appraisingly, teasingly, alarmingly",✅
gumchwer,gumchewer,gumchewer,"gumchewer, gumpus, sewer",✅
ulred,urled,upbred,"upbred, rustred, sugared",❌
hoootony,holotony,holotony,"holotony, buttony, hoodoo",✅
releasyable,releasable,releasable,"releasable, slayable, reapable",✅
pufefry,puffery,puffery,"puffery, puffwig, pulpitry",✅
anthropopathiosm,anthropopathism,anthropopathism,"anthropopathism, anthranil, anthribidae",✅
prejdopt,preadopt,preadopt,"preadopt, preoptic, lepidopter",✅
unhuhrtful,unhurtful,unhurtful,"unhurtful, unharried, gustful",✅
typhuos,typhous,typhous,"typhous, typhoid, typy",✅
hubmly,humbly,humbly,"humbly, husbandly, submaid",✅
grimlines,grimliness,grimliness,"grimliness, drumlin, larbowlines",✅
orthographsist,orthographist,orthographist,"orthographist, stethograph, orthognathy",✅
examptive,exemptive,exemptive,"exemptive, examinership, optive",✅
landwlordry,landlordry,landlordry,"landlordry, landlocked, landless",✅
rustrde,rustred,rustred,"rustred, rustiness, lustrate",✅
aminobenzwene,aminobenzene,aminobenzene,"aminobenzene, aminobarbituric, aminoacetone",✅
usuably,suably,suably,"suably, unsociably, adorably",✅
ejxtrasterile,extrasterile,extrasterile,"extrasterile, barile, unasterisk",✅
ungin,unsin,engineering,"engineering, engineership, angionoma",❌
qucik,quick,quick,"quick, quakerlike, quilkin",✅
hpone,phone,phone,"phone, cadmopone, prone",✅
tenstiform,tentiform,tentiform,"tentiform, cystiform, stratiform",✅
nualdermanly,unaldermanly,unaldermanly,"unaldermanly, aldermanry, yeomanly",✅
shcker,shocker,shocker,"shocker, shaker, slicker",✅
aetigotropically,aetiotropically,aetiotropically,"aetiotropically, chemotropically, tropicalian",✅
lealness,lealness,lealness,"lealness, coequalness, partialness",✅
pdelasgic,pelasgic,pelasgic,"pelasgic, melassigenic, delapsion",✅
chalvlie,challie,challie,"challie, chalaza, billie",✅
blubbreman,blubberman,blubberman,"blubberman, lyreman, cableman",✅
bosage,bossage,bossage,"bossage, embossage, tectosages",✅
kiar,kitar,kitar,"kitar, unifoliar, kuphar",✅
overutrnable,overturnable,overturnable,"overturnable, overtint, overidly",✅
manuiral,manurial,manurial,"manurial, mineral, manualii",✅
semianatroapl,semianatropal,semianatropal,"semianatropal, semiaerial, semicardinal",✅
cyrolite,cryolite,cerolite,"cerolite, pyrolite, cryolite",❌
wnudsen,knudsen,knudsen,"knudsen, suds, dudeen",✅
foundting,foundling,foundling,"foundling, fountainlet, ting",✅
cysignathidae,cystignathidae,cystignathidae,"cystignathidae, resignation, obsignate",✅
osreness,soreness,soreness,"soreness, bizarreness, insaneness",✅
fisopropylacetic,isopropylacetic,isopropylacetic,"isopropylacetic, propylite, cyanoacetic",✅
prceipitous,precipitous,precipitous,"precipitous, percipience, perception",✅
nfilet,filet,filet,"filet, inlet, auklet",✅
sid,said,said,"said, sideline, gamasid",✅
contragtenor,contratenor,contratenor,"contratenor, contravene, contractibly",✅
spilach,spinach,spinach,"spinach, spilly, wallach",✅
pelecpodous,pelecypodous,pelecypodous,"pelecypodous, octopodous, polycotylous",✅
photochronogpaphy,photochronography,photochronography,"photochronography, seismochronograph, photo",✅
decrepitness,decrepitness,decrepitness,"decrepitness, crepis, unexplicitness",✅
micac,micmac,micmac,"micmac, micate, unmicaceous",✅
cliomgraph,climograph,climograph,"climograph, allograph, labiograph",✅
micte,micate,micate,"micate, microtype, micmac",✅
ookmobile,bookmobile,bookmobile,"bookmobile, bloodmobile, hookmaking",✅
winodw,window,window,"window, windrow, wintry",✅
mnrmecological,myrmecological,myrmecological,"myrmecological, craniological, conchological",✅
upstreamwbrd,upstreamward,upstreamward,"upstreamward, upstamp, upstay",✅
wretchltssly,wretchlessly,wretchlessly,"wretchlessly, trustlessly, speaklessly",✅
cqharger,charger,charger,"charger, unchargeable, cheeseburger",✅
cauobge,cauboge,cauboge,"cauboge, caudated, causeful",✅
diaeznithal,diazenithal,diazenithal,"diazenithal, labyrinthal, caliphal",✅
giqt,girt,gigot,"gigot, girt, girba",❌
celiitis,celiitis,celiitis,"celiitis, celiocentesis, coronitis",✅
colly,holly,holly,"holly, folly, colleger",✅
transiliecy,transiliency,transiliency,"transiliency, transitus, transcension",✅
decrepitnemss,decrepitness,decrepitness,"decrepitness, crepis, unexplicitness",✅
pinxch,pinch,pinch,"pinch, pinguescent, spinach",✅
progymnoseprmic,progymnospermic,progymnospermic,"progymnospermic, progymnospermous, gymnotus",✅
legilby,legibly,legibly,"legibly, regill, allegiancy",✅
facmstead,farmstead,farmstead,"farmstead, doomstead, instead",✅
oerhit,overhit,overhit,"overhit, oenin, bereshith",✅
eusytle,eustyle,eustyle,"eustyle, rottle, bottle",✅
testicrdines,testicardines,testicardines,"testicardines, curdiness, sourdine",✅
overeatne,overeaten,overeaten,"overeaten, overtint, overhit",✅
caresive,caressive,caressive,"caressive, caressant, eversive",✅
visuapization,visualization,visualization,"visualization, stylopization, revitalization",✅
safri,safari,safari,"safari, safi, safrole",✅
untaitnedly,untaintedly,untaintedly,"untaintedly, confinedly, unwontedly",✅
unreadiness,unreadiness,unreadiness,"unreadiness, ineradicableness, curdiness",✅
cioohee,coohee,coohee,"coohee, ditrochee, prithee",✅
matxi,matti,matti,"matti, matrix, madi",✅
iwllie,willie,willie,"willie, billie, challie",✅
manyganic,manganic,manganic,"manganic, manichaean, many",✅
underhng,underhung,underhang,"underhang, underhung, underhum",❌
allhallwo,allhallow,allhallow,"allhallow, challie, thallous",✅
gundepost,guidepost,guidepost,"guidepost, undeposited, underpot",✅
metsaternal,metasternal,metasternal,"metasternal, asternata, internalize",✅
blethroat,bluethroat,bluethroat,"bluethroat, plethoric, throatlash",✅
peroratorially,peroratorically,peroratorically,"peroratorically, periarterial, conspiratorially",✅
transcrigbbler,transcribbler,transcribbler,"transcribbler, transcribble, transcribable",✅
bizarneness,bizarreness,bizarreness,"bizarreness, blearness, insaneness",✅
iler,lier,oiler,"oiler, moler, fuller",❌
hoodoo,hoodoo,hoodoo,"hoodoo, hoochinoo, shood",✅
allatnoinuria,allantoinuria,allantoinuria,"allantoinuria, manurial, uria",✅
velairze,velarize,velarize,"velarize, velated, elain",✅
subclolateral,subcollateral,subcollateral,"subcollateral, subcaudal, triliteral",✅
apyobiotic,apobiotic,apobiotic,"apobiotic, asthenobiotic, parabiotic",✅
tillusor,illusor,illusor,"illusor, illusionable, reillustration",✅
irreplevibale,irrepleviable,irrepleviable,"irrepleviable, irreplaceably, repleviable",✅
polksporic,polysporic,polysporic,"polysporic, trisporic, coleosporium",✅
meuarhyolite,metarhyolite,metarhyolite,"metarhyolite, cryolite, cerolite",✅
lockhouse,clockhouse,clockhouse,"clockhouse, milkhouse, mouse",✅
matin,martin,martin,"martin, matti, matrix",✅
fhcimetry,focimetry,focimetry,"focimetry, chlorimetry, viscosimetry",✅
lodlestone,lodestone,lodestone,"lodestone, honeystone, keystone",✅
corwstick,crowstick,crowstick,"crowstick, christicide, gunstick",✅
colostratimon,colostration,colostration,"colostration, prostration, nondemonstration",✅
farseeingnses,farseeingness,farseeingness,"farseeingness, farness, glaringness",✅
bacteriogeinc,bacteriogenic,bacteriogenic,"bacteriogenic, phytobacteriology, rhodobacteriaceae",✅
cobloa,cobola,cobola,"cobola, cobitidae, oblongatal",✅
annqexment,annexment,annexment,"annexment, encroachment, annexa",✅
gonadotroipc,gonadotropic,gonadotropic,"gonadotropic, gonal, gonangial",✅
progymnosperhic,progymnospermic,progymnospermic,"progymnospermic, progymnospermous, gymnotus",✅
arthrosterigam,arthrosterigma,arthrosterigma,"arthrosterigma, arthrogastra, arthropathology",✅
cmapus,campus,campus,"campus, gumpus, hallopus",✅
isolcasite,isoclasite,isoclasite,"isoclasite, bocasine, isopilocarpine",✅
squligee,squilgee,squilgee,"squilgee, squirewise, preintelligence",✅
fonotpath,footpath,footpath,"footpath, telpath, fonted",✅
prgracile,pregracile,pregracile,"pregracile, progresser, barile",✅
ierologist,hierologist,hierologist,"hierologist, dipterologist, pedologist",✅
ofshore,offshore,offshore,"offshore, zymophore, shorthorn",✅
linyt,linty,linty,"linty, lintie, linch",✅
ambisyllbic,ambisyllabic,ambisyllabic,"ambisyllabic, oligosyllabic, lambish",✅
triactirnal,triactinal,triactinal,"triactinal, tricker, metasternal",✅
intercostohumerla,intercostohumeral,intercostohumeral,"intercostohumeral, intercurrent, intermesenterial",✅
starkne,starken,starken,"starken, starcraft, starnel",✅
coeption,coemption,coemption,"coemption, perception, contention",✅
uninrwapped,uninwrapped,uninwrapped,"uninwrapped, unentrapped, unignorant",✅
subclolateral,subcollateral,subcollateral,"subcollateral, subcaudal, triliteral",✅
riiculer,ridiculer,ridiculer,"ridiculer, silicular, sicula",✅
hypophlodeodic,hypophloeodic,hypophloeodic,"hypophloeodic, hypophonic, hypophrenia",✅
obetct,obtect,obtect,"obtect, objectee, olfact",✅
iverpole,overpole,overpole,"overpole, overplot, overable",✅
beruan,berean,berean,"berean, perugian, berinse",✅
micorpia,micropia,micropia,"micropia, bicorporal, micromania",✅
outtsair,outstair,outswear,"outswear, outstair, outtrot",❌
cornflowr,cornflower,cornflower,"cornflower, corn, cushionflower",✅
shefdield,sheffield,sheffield,"sheffield, shedded, heregeld",✅
yolurt,yogurt,yogurt,"yogurt, yox, myology",✅
upstya,upstay,upstay,"upstay, upstamp, upstreamward",✅
nonvcapillary,noncapillary,noncapillary,"noncapillary, supermaxillary, spilly",✅
mravelry,marvelry,marvelry,"marvelry, novelry, cavalry",✅
triconsonantalirm,triconsonantalism,triconsonantalism,"triconsonantalism, unconsonant, preconsolation",✅
nipwhablepsia,niphablepsia,niphablepsia,"niphablepsia, pseudoblepsis, coachable",✅
tentifom,tentiform,tentiform,"tentiform, adiantiform, stratiform",✅
soreition,sortition,sortition,"sortition, soreness, reunition",✅
wordongery,wordmongery,wordmongery,"wordmongery, landmonger, weddinger",✅
arroantly,arrogantly,arrogantly,"arrogantly, warranted, arrogative",✅
pqffery,puffery,puffery,"puffery, wafery, fiery",✅
alamotti,allamotti,allamotti,"allamotti, matti, chatti",✅
callithoumpian,callithumpian,callithumpian,"callithumpian, tallith, heliotropian",✅
unloared,unloaned,unloaned,"unloaned, unspared, unsugared",✅
bifurcxtion,bifurcation,bifurcation,"bifurcation, bisinuation, titeration",✅
lrambeh,rambeh,rambeh,"rambeh, lambish, rame",✅
lenittude,lentitude,lenitude,"lenitude, lentitude, finitude",❌
aoolite,zoolite,zoolite,"zoolite, cerolite, zoolitic",✅
tergitsc,tergitic,tergitic,"tergitic, sergius, telergical",✅
tidekace,tiderace,tiderace,"tiderace, tidesurveyor, unplace",✅
jmwed,jawed,jawed,"jawed, widowed, interwed",✅
caroon,cartoon,cartoon,"cartoon, carmen, carrot",✅
rakttlesome,rattlesome,rattlesome,"rattlesome, babblesome, waddlesome",✅
lepidpter,lepidopter,lepidopter,"lepidopter, lepidoptera, leptoprosopous",✅
underbte,underbite,underbite,"underbite, undersize, underpot",✅
embzellisher,embellisher,embellisher,"embellisher, embossage, empusa",✅
sjbhyoid,subhyoid,subhyoid,"subhyoid, hyothyreoid, salpoid",✅
paleoethnologist,paleoethnologist,paleoethnologist,"paleoethnologist, paleichthyologist, paleoecology",✅
winty,wintry,wintry,"wintry, linty, window",✅
icountershaft,countershaft,countershaft,"countershaft, counterraid, countervair",✅
unistylibt,unistylist,unistylist,"unistylist, unigenist, faunistic",✅
qeenweed,queenweed,queenweed,"queenweed, fanweed, oreweed",✅
fleshmonager,fleshmonger,fleshmonger,"fleshmonger, landmonger, relicmonger",✅
ozdyl,odyl,odyl,"odyl, spondylid, condylura",✅
zverarm,overarm,overarm,"overarm, alarm, overawn",✅
brangible,frangible,frangible,"frangible, sporangiole, brandyball",✅
sitnuslike,sinuslike,sinuslike,"sinuslike, stolelike, penlike",✅
chrhonologic,chronologic,chronologic,"chronologic, monologist, cosmologic",✅
creedalit,creedalist,creedalist,"creedalist, reed, hinsdalite",✅
banaan,banana,banana,"banana, banghy, ranarian",✅
bcidarka,bidarka,bidarka,"bidarka, marka, predarkness",✅
ccarry,carry,carry,"carry, remarry, scarrer",✅
cpobitidae,cobitidae,cobitidae,"cobitidae, parasitidae, phymatidae",✅
nion,onion,onion,"onion, ammonion, fanioned",✅
timrberling,timberling,timberling,"timberling, spiderling, ting",✅
mesonemertnii,mesonemertini,mesonemertini,"mesonemertini, metanemertini, mesoscutal",✅
wretchalessly,wretchlessly,wretchlessly,"wretchlessly, trustlessly, speaklessly",✅
toaota,toatoa,toatoa,"toatoa, diota, deota",✅
gompish,rompish,rompish,"rompish, lumpish, gomeisa",✅
floodrark,floodmark,floodmark,"floodmark, flooding, flour",✅
lowbellied,slowbellied,slowbellied,"slowbellied, untallied, interallied",✅
nonbulkheuad,nonbulkhead,nonbulkhead,"nonbulkhead, unbulky, unbumped",✅
miwife,midwife,midwife,"midwife, miswrite, wifelkin",✅
uggy,muggy,buggy,"buggy, muggy, egg",❌
boko,book,book,"book, bongo, bookhood",✅
uneffervescynt,uneffervescent,uneffervescent,"uneffervescent, effervescingly, intervert",✅
hippotraugs,hippotragus,hippotragus,"hippotragus, hippiatry, hippomancy",✅
vigl,vigil,vigil,"vigil, vigia, vagal",✅
imp,jimp,jimp,"jimp, imprime, imperite",✅
micrurigcal,micrurgical,micrurgical,"micrurgical, micropia, microcrith",✅
usde,used,used,"used, usedly, misdeclare",✅
nueroganglion,neuroganglion,neuroganglion,"neuroganglion, gangling, diplogangliate",✅
srcibophilous,scribophilous,scribophilous,"scribophilous, lithophilous, sinophilism",✅
pensionaly,pensionably,pensionably,"pensionably, punitionally, ascension",✅
periarteirial,periarterial,periarterial,"periarterial, semiaerial, unimperial",✅
zpaas,zapas,zapas,"zapas, peas, anabas",✅
grmift,grift,grift,"grift, surmisant, gritter",✅
phazgomania,phagomania,phagomania,"phagomania, oniomania, micromania",✅
qothy,bothy,bothy,"bothy, clotho, forthy",✅
survsying,surveying,surveying,"surveying, surpassing, surveyage",✅
cuceno,cuzceno,cuzceno,"cuzceno, cucumber, cucujidae",✅
pseudocriticla,pseudocritical,pseudocritical,"pseudocritical, pseudocyesis, pseudoartistic",✅
contrapose,contrapose,contrapose,"contrapose, contravene, contratenor",✅
zygosu,zygous,zygous,"zygous, zygomorphous, monozygotic",✅
sorrate,sororate,sororate,"sororate, spirate, grate",✅
prtinvocation,preinvocation,preinvocation,"preinvocation, inviscation, certification",✅
alarminguly,alarmingly,alarmingly,"alarmingly, alarm, disarming",✅
smakingly,smackingly,smackingly,"smackingly, snaringly, jawbreakingly",✅
iprovably,improvably,improvably,"improvably, provant, irrigably",✅
prseatisfaction,presatisfaction,presatisfaction,"presatisfaction, satisfactive, prostration",✅
hysptricomorphous,hystricomorphous,hystricomorphous,"hystricomorphous, enantiomorphous, perimorphous",✅
mteonymous,metonymous,metonymous,"metonymous, cryptonymous, heteronymously",✅
paaeichthyologist,paleichthyologist,paleichthyologist,"paleichthyologist, paleoethnologist, physicotheologist",✅
labyrnthal,labyrinthal,labyrinthal,"labyrinthal, labyrinthian, labial",✅
rowbound,browbound,browbound,"browbound, surrebound, runround",✅
phagohania,phagomania,phagomania,"phagomania, oniomania, micromania",✅
talignment,malignment,malignment,"malignment, realignment, internment",✅
oratrxi,oratrix,oratrix,"oratrix, ordered, ordure",✅
revutete,revuette,revuette,"revuette, rever, revaluate",✅
kamaerzite,kamarezite,kamarezite,"kamarezite, chamaerrhine, kamba",✅
landlorqdry,landlordry,landlordry,"landlordry, landlocked, landless",✅
zlongful,longful,longful,"longful, wrongfulness, changeful",✅
ornithogeographhc,ornithogeographic,ornithogeographic,"ornithogeographic, ornithopoda, ornithic",✅
ortyvine,ortygine,ortygine,"ortygine, withvine, antidivine",✅
paropsvis,paropsis,paropsis,"paropsis, paroli, parathesis",✅
rigplian,rigelian,rigelian,"rigelian, tropicalian, aquilian",✅
acduca,caduca,caduca,"caduca, cambuca, coeducational",✅
surfeiier,surfeiter,surfeiter,"surfeiter, surveying, suricate",✅
micromasia,micromania,micromania,"micromania, micropia, micromethod",✅
demivotay,demivotary,demivotary,"demivotary, divoto, demideity",✅
rincidency,reincidency,reincidency,"reincidency, ringtime, ringtaw",✅
tnantless,tenantless,tenantless,"tenantless, feastless, gantlet",✅
lachrymogeinc,lachrymogenic,lachrymogenic,"lachrymogenic, hemochromogen, zymogenous",✅
ivnestible,investible,investible,"investible, suggestibly, resistibly",✅
unvsufficiency,unsufficiency,unsufficiency,"unsufficiency, sufficiency, sufficiently",✅
antigoverment,antigovernment,antigovernment,"antigovernment, anticomplement, antiglare",✅
gneerously,generously,generously,"generously, adulterously, preponderously",✅
hurdlpman,hurdleman,hurdleman,"hurdleman, sloopman, huddlement",✅
kuakerlike,quakerlike,quakerlike,"quakerlike, monsterlike, gatelike",✅
resukspend,resuspend,resuspend,"resuspend, superimpend, resubmit",✅
discorportae,discorporate,discorporate,"discorporate, discoursively, bicorporal",✅
releasaeble,releasable,releasable,"releasable, reletter, reapable",✅
panhypeemia,panhyperemia,panhyperemia,"panhyperemia, paraphemia, panhandle",✅
ufnmown,unmown,unmown,"unmown, flown, unshown",✅
qetrol,petrol,petrol,"petrol, styrol, metropolitic",✅
arriage,carriage,carriage,"carriage, aerage, carriagesmith",✅
unarbmtrariness,unarbitrariness,unarbitrariness,"unarbitrariness, unreadiness, glaringness",✅
wellsprnig,wellspring,wellspring,"wellspring, tellsome, swellfish",✅
aquilin,aquilian,aquilian,"aquilian, bilin, quilkin",✅
bivbcock,bibcock,bibcock,"bibcock, thricecock, bivocal",✅
misrraise,misraise,misraise,"misraise, misadvise, craisey",✅
mgeacerine,megacerine,megacerine,"megacerine, mulierine, bebeerine",✅
altpan,saltpan,saltpan,"saltpan, altern, sapan",✅
paina,patina,patina,"patina, omina, cantina",✅
unfiurm,unfirm,unfirm,"unfirm, unfroze, unfraught",✅
openmouhtedly,openmouthedly,openmouthedly,"openmouthedly, spottedly, unwontedly",✅
contrapose,contrapose,contrapose,"contrapose, contravene, contratenor",✅
uniclutch,unclutch,unclutch,"unclutch, slutchy, blotch",✅
dundermeasure,undermeasure,undermeasure,"undermeasure, dunderpate, tenderly",✅
hschizont,schizont,schizont,"schizont, schizophyte, myzont",✅
scro,sero,scroo,"scroo, sclaw, sero",❌
hioid,hinoid,hinoid,"hinoid, maioid, rhizoid",✅
stoaboard,stopboard,stopboard,"stopboard, aboard, keyboard",✅
boavist,bonavist,bonavist,"bonavist, chavish, aviarist",✅
pgivity,privity,privity,"privity, expansivity, tempestivity",✅
ninterallied,interallied,interallied,"interallied, untallied, enthralling",✅
unselpulchered,unsepulchered,unsepulchered,"unsepulchered, unspared, unsutured",✅
crnakman,crankman,crankman,"crankman, craftsman, dragman",✅
occur,occur,occur,"occur, occulter, recur",✅
pregfinance,prefinance,prefinance,"prefinance, preconizance, repugnance",✅
scuate,sclate,sclate,"sclate, pascual, scutella",✅
metatrheria,metatheria,metatheria,"metatheria, mediatrice, metage",✅
gateliek,gatelike,gatelike,"gatelike, philatelistic, lek",✅
deciduxus,deciduous,deciduous,"deciduous, decil, nidus",✅
hemsaprophytic,hemisaprophytic,hemisaprophytic,"hemisaprophytic, saprophytic, saprophile",✅
fuslfulde,fulfulde,fulfulde,"fulfulde, wailful, skullful",✅
cacogeics,cacogenics,cacogenics,"cacogenics, cacoethic, cacodylate",✅
kntraecclesiastical,intraecclesiastical,intraecclesiastical,"intraecclesiastical, anteclassical, paronomastical",✅
tnikerwise,tinkerwise,tinkerwise,"tinkerwise, marketwise, somewise",✅
